C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE01001;DOMBES - SAÔNE - CÔTIÈRE;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.4060102532;0.2874740368;0.3921241166;0.2663516969;0.0138861366;0.0211223399;CLPE33002;CLPE69D04;CLPE69D02;CLPE69D03;CLPE42002;CLPE67002;CLPE74001;CLPE69D01;CLPE73002;CLPE67004
CLPE01002;GRAND BOURG AGGLOMÉRATION - BRESSE - VEYLE;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.3944332674;0.268025765;0.3831303068;0.256857244;0.0113029605;0.011168521;CLPE01004;CLPE38003;CLPE41001;CLPE71002;CLPE22002;CLPE45003;CLPE71005;CLPE68002;CLPE73002;CLPE67004
CLPE01003;HAUT BUGEY AGGLOMÉRATION - VALSERHÔNE - PAYS DE GEX;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.3368223441;0.2054104427;0.312537493;0.2034077747;0.0242848511;0.002002668;CLPE74003;CLPE89003;CLPE25002;CLPE68004;CLPE28003;CLPE42001;CLPE68003;CLPE60003;CLPE89001;CLPE28002
CLPE01004;PLAINE DE L'AIN - BUGEY SUD - RIVES DE L'AIN PAYS DU CE;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.4015794515;0.2728396712;0.3865705112;0.2612678184;0.0150089403;0.0115718527;CLPE01002;CLPE38003;CLPE35001;CLPE67004;CLPE56002;CLPE41001;CLPE22001;CLPE22002;CLPE73002;CLPE67003
CLPE02001;CHÂTEAU-THIERRY;02;AISNE;32;HAUTS-DE-FRANCE;0.351820953;0.2208567303;0.3255361863;0.2176062665;0.0262847667;0.0032504638;CLPE89001;CLPE61001;CLPE60001;CLPE28001;CLPE89003;CLPE76001;CLPE60003;CLPE47003;CLPE27003;CLPE18001
CLPE02002;LAON;02;AISNE;32;HAUTS-DE-FRANCE;0.275429318;0.1810233283;0.2819086709;0.1868855348;-0.006479353;-0.005862207;CLPE59001;CLPE02004;CLPE54002;CLPE57001;CLPE62004;CLPE02003;CLPE02005;CLPE55002;CLPE03001;CLPE10003
CLPE02003;SAINT-QUENTIN;02;AISNE;32;HAUTS-DE-FRANCE;0.2593737029;0.1719912242;0.2766233762;0.1831637671;-0.017249673;-0.011172543;CLPE59001;CLPE59006;CLPE02002;CLPE02004;CLPE59002;CLPE08001;CLPE02005;CLPE57001;CLPE62004;CLPE54002
CLPE02004;SOISSONS;02;AISNE;32;HAUTS-DE-FRANCE;0.3120235519;0.2053479168;0.2868633883;0.1898249369;0.0251601636;0.0155229799;CLPE02002;CLPE45002;CLPE59001;CLPE90001;CLPE02003;CLPE03001;CLPE10003;CLPE54002;CLPE57004;CLPE71001
CLPE02005;VERVINS;02;AISNE;32;HAUTS-DE-FRANCE;0.2496270903;0.1643419779;0.2753313082;0.1817175156;-0.025704218;-0.017375538;CLPE59001;CLPE02002;CLPE02003;CLPE54002;CLPE02004;CLPE57001;CLPE62004;CLPE08001;CLPE18003;CLPE08004
CLPE03001;MONTLUÇON;03;ALLIER;84;AUVERGNE-RHÔNE-ALPES;0.2583978347;0.170112541;0.2966029182;0.1960609069;-0.038205084;-0.025948366;CLPE88004;CLPE71001;CLPE10003;CLPE45002;CLPE02004;CLPE88001;CLPE18003;CLPE54002;CLPE03003;CLPE90001
CLPE03002;MOULINS;03;ALLIER;84;AUVERGNE-RHÔNE-ALPES;0.3075451449;0.2043923911;0.3058932421;0.2004382565;0.0016519028;0.0039541345;CLPE36001;CLPE65003;CLPE88001;CLPE55002;CLPE81003;CLPE11001;CLPE09003;CLPE71001;CLPE58004;CLPE18001
CLPE03003;VICHY;03;ALLIER;84;AUVERGNE-RHÔNE-ALPES;0.3161967193;0.2142301245;0.3133271595;0.2061804711;0.0028695598;0.0080496534;CLPE89001;CLPE71001;CLPE63002;CLPE45002;CLPE61001;CLPE88004;CLPE81003;CLPE21004;CLPE23001;CLPE42003
CLPE04001;ALPES-DE-HAUTE-PROVENCE;04;ALPES-DE-HAUTE-PROVENCE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.3701845379;0.2441337493;0.3575036319;0.2383661057;0.012680906;0.0057676435;CLPE84004;CLPE07002;CLPE84003;CLPE84001;CLPE24003;CLPE26002;CLPE31003;CLPE22003;CLPE24001;CLPE46003
CLPE05001;HAUTES-ALPES;05;HAUTES-ALPES;93;PROVENCE-ALPES-CÔTE D'AZUR;0.4555299087;0.278222506;0.424780575;0.2822939506;0.0307493337;-0.004071445;CLPE38001;CLPE65002;CLPE64003;CLPE40003;CLPE40002;CLPE56001;CLPE35003;CLPE24004;CLPE74002;CLPE85003
CLPE06001;GRASSE;06;ALPES-MARITIMES;93;PROVENCE-ALPES-CÔTE D'AZUR;0.3867056721;0.2654903039;0.3556060789;0.2383576519;0.0310995932;0.027132652;CLPE06002;CLPE13001;CLPE83003;CLPE83002;CLPE34003;CLPE68002;CLPE83001;CLPE69M06;CLPE30002;CLPE73002
CLPE06002;NICE;06;ALPES-MARITIMES;93;PROVENCE-ALPES-CÔTE D'AZUR;0.3692244055;0.2396180593;0.3484572714;0.2330615891;0.0207671342;0.0065564702;CLPE06001;CLPE34003;CLPE83003;CLPE13001;CLPE38002;CLPE69M06;CLPE69M02;CLPE33003;CLPE68002;CLPE30001
CLPE07001;ANNONAY;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.3881848069;0.2576605516;0.3666585186;0.2426690607;0.0215262883;0.0149914909;CLPE42003;CLPE26002;CLPE14004;CLPE68005;CLPE71002;CLPE63003;CLPE45004;CLPE26001;CLPE82002;CLPE39003
CLPE07002;AUBENAS;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.3662027173;0.2482885683;0.3489334321;0.229514774;0.0172692853;0.0187737943;CLPE04001;CLPE66001;CLPE46003;CLPE66003;CLPE24001;CLPE11003;CLPE31003;CLPE84004;CLPE26002;CLPE65002
CLPE07003;CENTRE ARDÈCHE;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.3433029337;0.2294033623;0.3294006433;0.215969911;0.0139022905;0.0134334513;CLPE31003;CLPE81003;CLPE46001;CLPE19002;CLPE81002;CLPE63002;CLPE65003;CLPE81001;CLPE82002;CLPE71003
CLPE08001;CHARLEVILLE-MÉZIÈRES;08;ARDENNES;44;GRAND EST;0.2532659918;0.1652441131;0.271309447;0.1782254858;-0.018043455;-0.012981373;CLPE02003;CLPE10002;CLPE57001;CLPE59001;CLPE02002;CLPE59006;CLPE08004;CLPE30003;CLPE59005;CLPE54002
CLPE08002;RETHEL;08;ARDENNES;44;GRAND EST;0.3375254161;0.2228581469;0.3275074218;0.2163643363;0.0100179942;0.0064938107;CLPE16003;CLPE57003;CLPE37003;CLPE71003;CLPE63003;CLPE17005;CLPE86002;CLPE63002;CLPE24001;CLPE89002
CLPE08003;REVIN;08;ARDENNES;44;GRAND EST;0.2686912962;0.1760488416;0.2666353838;0.173940665;0.0020559124;0.0021081766;CLPE08001;CLPE59005;CLPE08004;CLPE57001;CLPE30003;CLPE02005;CLPE54001;CLPE54002;CLPE59001;CLPE10002
