question;niveau;recommandation1;recommandation2;cap
1;1;Installer les bases de fonctionnement du CLPE ~~n~~Définir qui fait quoi dans la co-présidence et l’organisation du CLPE, de la préparation des instances au suivi des décisions.~~n~~Mettre en place des règles de fonctionnement partagées : calendrier, préparation des réunions, ordres du jour et suivi des actions.;Faire des réunions du CLPE des espaces de décision ~~n~~Structurer les réunions autour de priorités partagées et de décisions opérationnelles : préparer les arbitrages attendus, formaliser les décisions prises, identifier les responsables de mise en œuvre et organiser un suivi régulier des engagements.;Passer d’un CLPE qui se réunit à un CLPE qui s'organise pour agir collectivement : une co-présidence active, une gouvernance claire, une animation opérationnelle et des décisions suivies dans le temps permettent aux acteurs de travailler ensemble dans une même direction.
1;2;Consolider le rôle stratégique de la co-présidence~~n~~Renforcer l'implication des co-présidents dans le pilotage du CLPE : définir ensemble les priorités, préparer les décisions à prendre, clarifier les arbitrages attendus et assurer un suivi régulier des engagements pris avec l'ensemble des membres du CLPE.;Installer un pilotage collectif par le suivi des actions~~n~~Renforcer le suivi collectif porté par la co-présidence : structurer les réunions autour de l’avancement de la feuille de route, des résultats obtenus collectivement et des difficultés rencontrées. Les co-présidents veillent au suivi des décisions prises, facilitent les arbitrages nécessaires et s’assurent de la mise en œuvre des actions.;Passer d’un CLPE qui coordonne les acteurs à un CLPE qui impulse et pilote une dynamique territoriale collective : la co-présidence donne le cap, facilite les arbitrages et veille à la traduction des orientations en résultats partagés concrets.
1;3;Faire de la co-présidence un levier d’impulsion~~n~~Donner à la co-présidence un rôle plus affirmé dans la définition des priorités, l’arbitrage des situations complexes et la mobilisation des acteurs autour des enjeux stratégiques du territoire.;Renforcer le rôle de la co-présidence dans le suivi des décisions~~n~~Organiser régulièrement un point d’avancement sur les actions du CLPE : suivre les décisions prises, vérifier la réalisation des engagements, identifier les difficultés rencontrées et porter les ajustements nécessaires avec les membres du CLPE.;Passer d’un CLPE qui fonctionne efficacement à un CLPE qui exerce pleinement sa fonction de pilotage : une instance capable de définir des priorités, d’arbitrer collectivement et de transformer les décisions en impacts mesurables.
2;1;Clarifier le périmètre d’intervention de l’appui opérationnel~~n~~Définir avec les coprésidents et les membres du CLPE le périmètre d’intervention de l’appui opérationnel de France Travail : appui méthodologique aux travaux, préparation des instances, mobilisation des données et ressources utiles, soutien à la coordination des acteurs, contribution à la mise en œuvre de la feuille de route partagée...;Mobiliser l’appui opérationnel sur les travaux prioritaires du territoire~~n~~Mobiliser l’appui opérationnel de France Travail sur les besoins concrets du CLPE : préparation des temps collectifs, apport d’éléments de diagnostic territorial, mise à disposition d’outils et de méthodes, appui à la coordination des acteurs et facilitation des travaux engagés.;Passer d’un appui peu identifié ou limité à une fonction d’appui opérationnel structurée, connue et reconnue des acteurs et mobilisée pour faciliter les décisions et leur mise en œuvre.
2;2;Structurer kes modalités de mobilisation de l'appui opérationnel ~~n~~Définir avec les co-présidents les conditions de mobilisation de l’appui opérationnel : sujets pouvant nécessiter un appui, étapes des travaux concernées, méthodes et outils mobilisables, modalités d’accompagnement des acteurs et de la coopération au sein du CLPE.;Installer une démarche d’appui régulière au service du collectif~~n~~Organiser des échanges réguliers avec les acteurs du CLPE pour identifier les besoins d’appui, proposer des ressources adaptées, faciliter la coopération opérationnelle et accompagner la mise en œuvre des actions prioritaires.;Passer d’un appui ponctuel à une fonction d’appui opérationnel clairement définie et intégrée au fonctionnement du CLPE, contribuant directement au suivi des priorités et à la mise en œuvre d'actions en coopération.
2;3;Renforcer l’appui opérationnel au pilotage collectif~~n~~Consolider l’intervention de l’appui opérationnel auprès des coprésidents et des acteurs du territoire : préparation des sujets stratégiques, apport d’analyses utiles aux échanges, proposition de méthodes de travail et facilitation de la coordination entre acteurs.;Développer une approche proactive au service de l’impact des actions~~n~~Aller au-devant des besoins du CLPE en identifiant les points de blocage, en proposant des méthodes, outils ou appuis adaptés et en ajustant régulièrement l’intervention de France Travail pour faciliter la coordination des acteurs, soutenir les actions engagées et renforcer leur impact territorial.;Passer d’une fonction d’appui centrée sur le fonctionnement du CLPE à une fonction d’appui opérationnel au service de tous les acteurs, qui facilite le pilotage collectif, accompagne la réalisation des actions et contribue à mesurer et renforcer leur impact.
3;1;Construire un premier diagnostic territorial partagé du CLPE~~n~~Élaborer un premier diagnostic territorial à partir des données disponibles afin de disposer d’un état des lieux partagé des caractéristiques, des besoins et des enjeux du territoire.;Partager les constats en CLPE et définir les premières priorités collectives~~n~~Organiser un temps de travail avec les membres du CLPE pour croiser les données avec les réalités de terrain, identifier collectivement les principaux enjeux du territoire et les traduire en premières priorités d’action.;Faire du diagnostic territorial le socle partagé du pilotage du CLPE : disposer d’une lecture commune du territoire pour prioriser les enjeux, orienter les actions et ajuster les réponses aux besoins identifiés.
3;2;Élargir le partage du diagnostic territorial~~n~~Présenter le diagnostic du territoire à l’ensemble des membres du CLPE, recueillir les contributions des acteurs du territoire et compléter les constats avec les données et observations de terrain afin de construire une lecture commune des enjeux.;Inscrire le diagnostic territorial dans le pilotage régulier du CLPE~~n~~Prévoir des temps réguliers d’actualisation du diagnostic et s’appuyer sur ses évolutions pour confirmer, ajuster ou réorienter les priorités et les actions de la feuille de route du CLPE.;Faire du diagnostic territorial un outil partagé de pilotage du CLPE : une référence commune pour décider des priorités, suivre les évolutions du territoire et adapter les actions engagées.
3;3;Faire vivre le diagnostic du territoire dans la durée~~n~~Organiser une actualisation régulière du diagnostic en définissant les indicateurs clés à suivre, le rythme de mise à jour et la contribution attendue des différents acteurs afin de maintenir une vision partagée des évolutions du territoire.;Utiliser le diagnostic pour guider les décisions du CLPE~~n~~Relier systématiquement les évolutions du diagnostic territorial aux décisions prises par le CLPE : lors de chaque revue de feuille de route, identifier les changements significatifs du territoire et décider collectivement des priorités ou actions à maintenir, renforcer, adapter ou arrêter.;Faire du diagnostic territorial un outil dynamique de pilotage du CLPE : anticiper les évolutions du territoire, éclairer les décisions collectives et renforcer l’impact des actions engagées collectivement.
4;1;Co-construire une première feuille de route ~~n~~Élaborer avec les membres du CLPE une première feuille de route à partir des enjeux prioritaires, en précisant les objectifs, les actions à engager, les acteurs concernés, les échéances et les résultats attendus.;Donner de la visibilité à la feuille de route~~n~~Saisir la feuille de route du CLPE dans le TDB RPE afin de partager les enjeux et engagements du territoire, de faciliter leur suivi collectif et de disposer d'un support commun de pilotage.;Passer d’actions menées sans feuille de route partagée à une feuille de route qui donne un cap commun, formalise les priorités du CLPE et organise l’action collective.
4;2;Structurer la feuille de route du CLPE~~n~~Transformer les priorités du diagnostic du territoire en feuille de route partagée et structurée en précisant objectifs, actions, responsables, échéances et résultats attendus.;Installer un suivi régulier de la feuille de route~~n~~Intégrer la feuille de route au TDB RPE et organiser des revues régulières en CLPE pour suivre l'avancement des actions, identifier les éventuels points de blocage et décider collectivement des ajustements nécessaires.;Passer d’une feuille de route qui recense des priorités à un véritable outil de pilotage partagé, permettant de suivre les engagements, d’ajuster les actions et de mobiliser les acteurs autour d’objectifs communs.
4;3;Renforcer la qualité stratégique de la feuille de route~~n~~Revoir les priorités avec l’ensemble des membres à partir du diagnostic territorial et préciser pour chacune, des objectifs mesurables, les résultats attendus et les actions réellement prioritaires.;Faire vivre la feuille de route dans le pilotage du CLPE~~n~~Installer une revue annuelle et des points d’étape réguliers en CLPE plénier. S'appuyer sur le TDB RPE pour examiner l'avancement et l’impact des actions et actualiser la feuille de route en fonction des évolutions du territoire.;Faire de la feuille de route un véritable outil de pilotage stratégique et opérationnel du CLPE, relié au diagnostic territorial, aux actions engagées et à leurs résultats pour orienter les décisions du CLPE.
5;1;Mettre à niveau les fiches actions prioritaires~~n~~Compléter les fiches actions prioritaires en précisant pour chacune l'objectif, le porteur, les acteurs associés, les échéances et les résultats mesurables attendus.;Organiser le suivi des actions~~n~~Saisir les fiches actions du CLPE dans le TDB RPE et désigner un porteur pour chacune d'elles et préciser qui met à jour l'avancement et à quel rythme.;Passer d’actions peu formalisées à des actions structurées, suivies par des porteurs identifiés et pilotées collectivement par le CLPE.
5;2;Harmoniser les fiches actions~~n~~Compléter les fiches actions selon un même niveau d'exigence en précisant les objectifs, les résultats attendus, les échéances, les responsabilités et les principaux indicateurs de suivi et de résultat.;Installer un suivi régulier avec les porteurs d'actions~~n~~Prévoir des points réguliers avec les porteurs d'actions pour faire le point sur l'avancement, les difficultés rencontrées, les résultats obtenus et mettre à jour les fiches actions dans le TDB RPE.;Passer d'un suivi ponctuel des actions à un suivi partagé, régulier et utile aux décisions et priorités du CLPE.
5;3;Renforcer le pilotage des actions par les résultats~~n~~Pour chaque action prioritaire, préciser les résultats attendus (par ex. le nombre de personnes accompagnées, le taux d'accès à l'emploi ou le nombre d'entreprises mobilisées), les indicateurs de résultat ou d'impact associés et, lorsque c'est pertinent, une cible à atteindre.;Faire vivre le bilan des actions~~n~~Organiser régulièrement un retour d'expérience avec les porteurs d'actions : présenter les résultats obtenus, les difficultés rencontrées, les suites à donner à l'action et renseigner le bilan et l'impact dans le TDB RPE.;Passer d'un suivi de la mise en œuvre des actions à un pilotage qui s'appuie sur les résultats et l'impact pour décider collectivement de poursuivre, adapter ou arrêter les actions.
6;1;Construire un socle commun d’indicateurs pour le CLPE~~n~~Identifier les quelques données utiles pour partager une même lecture des enjeux, ex. évolution des publics en recherche d’emploi, besoins et difficultés de recrutement des entreprises, secteurs et métiers prioritaires, accès aux solutions d’accompagnement, à la formation et à l’emploi.;Intégrer les données dans des temps de pilotage du CLPE~~n~~Présenter régulièrement ces indicateurs en CLPE afin de partager collectivement les constats, objectiver les échanges, éclairer les décisions prises en coopération.;Passer d’une utilisation des données à titre informatif à un usage des données comme support aux décisions collectives et à la priorisation des actions du CLPE.
6;2;Donner des repères de suivi aux priorités du CLPE~~n~~Pour chaque priorité et action du CLPE, préciser les résultats attendus et quelques indicateurs permettant de suivre les évolutions, en identifiant la situation de départ et, lorsque cela est pertinent, une cible à atteindre.;Utiliser les résultats pour ajuster les actions~~n~~Prévoir des temps d’analyse des évolutions observées afin de partager les constats, identifier les écarts et décider collectivement de poursuivre, renforcer, adapter ou réorienter les actions engagées.;Passer d’un suivi ponctuel des données à une utilisation régulière des indicateurs et des résultats pour guider les priorités et ajuster les actions du CLPE.
6;3;Mieux mesurer les résultats et les effets des actions~~n~~Pour chaque priorité du CLPE, préciser les résultats recherchés, les indicateurs permettant de suivre les évolutions, la situation de départ et les objectifs à atteindre afin d’apprécier les progrès réalisés et les effets produits sur le territoire.;Utiliser les résultats pour ajuster les actions et renforcer leur impact~~n~~Organiser régulièrement un examen des résultats obtenus et des écarts constatés afin de décider collectivement des ajustements à apporter aux actions : poursuivre, renforcer, adapter ou arrêter certaines actions du CLPE en fonction de leur efficacité et de leur impact sur le territoire.;Passer d’un usage des données pour alimenter les échanges à un pilotage par les résultats, permettant au CLPE de mesurer l’impact des actions sur le territoire, d’ajuster ses priorités et d’orienter ses décisions en conséquence.
7;1;Définir le changement recherché avant d’engager une action~~n~~Pour chaque actiondu CLPE, préciser le changement attendu pour les chercheurs d'emploi, les entreprises ou le territoire : quel besoin l’action cherche à résoudre, quels effets sont attendus et pour quels publics.;Compléter le suivi de l’activité par le suivi des résultats~~n~~Ajouter aux indicateurs d’activité (nombre d’actions réalisées, participants mobilisés, accompagnements proposés…) quelques indicateurs permettant d’apprécier les premiers résultats obtenus pour les usagers ou le territoire.;Passer de « qu’avons-nous réalisé ? » à « quels résultats avons-nous obtenus et quels changements l’action a-t-elle permis ? ».
7;2;Intégrer l’impact attendu dans la conception des actions du CLPE~~n~~Lors de la définition d’une action, préciser le besoin auquel elle répond, les publics concernés, le changement recherché et les indicateurs permettant d’apprécier les résultats obtenus.;Organiser des temps de retour sur les actions engagées~~n~~Prévoir des points réguliers pour analyser les résultats obtenus, partager les constats des acteurs et des usagers, identifier ce qui fonctionne ou les difficultés rencontrées, puis décider collectivement des ajustements nécessaires.;Passer d’actions conçues principalement à partir des moyens mobilisés à des actions pensées à partir des changements attendus pour les publics, entreprises et le territoire.
7;3;Formaliser l’impact attendu des actions prioritaires~~n~~Pour chaque action du CLPE, préciser le changement recherché à moyen terme pour les usagers ou le territoire, ainsi que les indicateurs permettant d’apprécier les effets obtenus.;Faire de l’analyse de l'impact un outil de décision du CLPE~~n~~Organiser des revues d’impact pour comparer les résultats obtenus aux effets attendus et décider collectivement de poursuivre, renforcer, transformer ou arrêter une action selon sa contribution réelle aux enjeux du territoire.;Passer d’une logique de suivi des actions à une logique de pilotage par les effets produits, permettant au CLPE de concentrer ses moyens sur les actions qui apportent une réelle valeur et de l'impact pour le territoire.
8;1;Construire un collectif opérationnel autour des besoins des entreprises~~n~~Identifier les acteurs à associer, les besoins des entreprises auxquels la task force doit répondre et les modalités de coordination entre acteurs du territoire.;Choisir une première cible d’intervention commune~~n~~Définir collectivement un premier enjeu prioritaire pour aller vers les entreprises : secteur en tension, métiers en difficulté de recrutement, entreprises rencontrant des besoins spécifiques, et se réunir pour coordonner les premières actions.;Passer d’interventions dispersées auprès des entreprises à une démarche territoriale collective, ciblée et organisée pour mieux répondre aux besoins des employeurs du territoire.
8;2;Clarifier l’organisation collective de la relation entreprise~~n~~Définir ensemble les objectifs communs, les priorités d’intervention, la contribution de chacun et les modalités de partage d’information.;Coordonner les actions menées auprès des entreprises~~n~~Organiser le partage des entreprises ciblées, des besoins identifiés et des actions engagées afin de mieux répartir les interventions, éviter les sollicitations multiples et apporter une réponse plus lisible aux employeurs.;Passer d’une coopération ponctuelle entre acteurs à une organisation territoriale coordonnée de la relation entreprise, avec des priorités et des actions partagées.
8;3;Installer un fonctionnement régulier de la task force entreprise~~n~~Structurer les temps de travail de la task force entreprise : partager les besoins identifiés, cibler les entreprises prioritaires, coordonner les actions d’aller-vers et suivre les réponses apportées collectivement.;Piloter la task force entreprise par les résultats~~n~~Définir quelques indicateurs communs pour mesurer l’efficacité et l'impact de la task force : entreprises accompagnées, besoins de recrutement traités, actions réalisées, recrutements facilités, recours aux services proposés et satisfaction des entreprises. Utiliser ces résultats pour ajuster les actions de la task force.;Passer d’une task force qui coordonne les interventions des acteurs à une task force pleinement opérationnelle, capable de cibler les besoins des entreprises, de coordonner les réponses et de mesurer sa contribution à l’emploi sur le territoire.
